0.6329300188304717,2021-07-14 08:10:23.869903,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 376, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 174, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 33, 'optimizer': 'adam', 'lrAdam': 9.639801987543656e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 43}
0.6483428334304052,2021-07-14 08:25:52.223196,{'astseq_numOfLayers': 2, 'astseq_hiddenSize': 587, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 232, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 53, 'optimizer': 'adam', 'lrAdam': 1.9411385111703362e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 14}
0.6387764596840668,2021-07-14 08:41:36.967005,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 872, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 90, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 6, 'optimizer': 'adam', 'lrAdam': 3.082133397100771e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 5}
0.6254199330528701,2021-07-14 08:48:39.747372,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 457, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 133, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 46, 'optimizer': 'adam', 'lrAdam': 7.702909876185838e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 27}
0.6734496607253918,2021-07-14 09:06:51.227642,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 304, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 2, 'commitseq_hiddenSize': 330, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 79, 'optimizer': 'adam', 'lrAdam': 1.543794453801817e-05, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 6}
0.6163818011342926,2021-07-14 09:11:51.257100,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 452, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 135, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 45, 'optimizer': 'adam', 'lrAdam': 8.230922427667868e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 25}
0.6210322123562957,2021-07-14 09:22:33.891460,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 379, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 67, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 66, 'optimizer': 'adam', 'lrAdam': 4.825920569171592e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 47}
0.6264083283358437,2021-07-14 09:39:53.016466,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 374, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 61, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 66, 'optimizer': 'adam', 'lrAdam': 1.0063727536230924e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 281}
0.6801138147481085,2021-07-14 11:02:37.628835,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 272, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 763, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 35, 'optimizer': 'adam', 'lrAdam': 4.217157496457904e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 20}
0.6173426892120156,2021-07-14 11:12:26.472009,{'astseq_numOfLayers': 1, 'astseq_hiddenSize': 512, 'astseq_rateDropout': 0.0, 'commitseq_numOfLayers': 1, 'commitseq_hiddenSize': 67, 'commitseq_rateDropout': 0.0, 'metrics_numOfLayers': 3, 'metrics_numOfOutput': 26, 'optimizer': 'adam', 'lrAdam': 2.3684211165942813e-06, 'beta1Adam': 0.9, 'beta2Adam': 0.999, 'epsilonAdam': 1e-08, 'sizeBatch': 128, 'numEpochs': 179}
